feature,value
log-sigma-1-0-mm-3D_glcm_Correlation,0.7462714868345658
log-sigma-1-0-mm-3D_glcm_DifferenceAverage,1.1115288154613938
log-sigma-1-0-mm-3D_glcm_DifferenceEntropy,2.0245035692286644
log-sigma-1-0-mm-3D_glcm_DifferenceVariance,2.4261502057704005
log-sigma-1-0-mm-3D_glcm_Id,0.6448653085152463
log-sigma-1-0-mm-3D_glcm_Idm,0.6140876811344127
log-sigma-1-0-mm-3D_glcm_Idmn,0.999109673578203
log-sigma-1-0-mm-3D_glcm_Idn,0.9834581485193095
log-sigma-1-0-mm-3D_glcm_Imc1,-0.20907521634276943
log-sigma-1-0-mm-3D_glcm_Imc2,0.826136999151671
log-sigma-1-0-mm-3D_glcm_InverseVariance,0.4129751768398392
log-sigma-1-0-mm-3D_glcm_JointAverage,33.6871427095974
log-sigma-1-0-mm-3D_glcm_JointEnergy,0.06740707958852113
log-sigma-1-0-mm-3D_glcm_JointEntropy,5.342938900461579
log-sigma-1-0-mm-3D_glcm_MCC,0.7878629543144667
log-sigma-1-0-mm-3D_glcm_MaximumProbability,0.1806128329814352
log-sigma-1-0-mm-3D_glcm_SumAverage,67.37428541919485
log-sigma-1-0-mm-3D_glcm_SumEntropy,3.838170224701519
log-sigma-1-0-mm-3D_glcm_SumSquares,7.388926496816411
log-sigma-1-0-mm-3D_glrlm_GrayLevelNonUniformity,105899.3883587118
log-sigma-1-0-mm-3D_glrlm_GrayLevelNonUniformityNormalized,0.1415572093902637
log-sigma-1-0-mm-3D_glrlm_GrayLevelVariance,11.651799604342322
log-sigma-1-0-mm-3D_glrlm_HighGrayLevelRunEmphasis,1160.938179055819
log-sigma-1-0-mm-3D_glrlm_LongRunEmphasis,4.930289719068297
log-sigma-1-0-mm-3D_glrlm_LongRunHighGrayLevelEmphasis,5543.856772402955
log-sigma-1-0-mm-3D_glrlm_LongRunLowGrayLevelEmphasis,0.0044486463271658176
log-sigma-1-0-mm-3D_glrlm_LowGrayLevelRunEmphasis,0.0009042843736791748
log-sigma-1-0-mm-3D_glrlm_RunEntropy,4.845913609594647
log-sigma-1-0-mm-3D_glrlm_RunLengthNonUniformity,381735.5118921604
log-sigma-1-0-mm-3D_glrlm_RunLengthNonUniformityNormalized,0.5067219816626813
log-sigma-1-0-mm-3D_glrlm_RunPercentage,0.6153325843146334
log-sigma-1-0-mm-3D_glrlm_RunVariance,2.1815077211788934
log-sigma-1-0-mm-3D_glrlm_ShortRunEmphasis,0.7378995590781916
log-sigma-1-0-mm-3D_glrlm_ShortRunHighGrayLevelEmphasis,864.8527302990761
log-sigma-1-0-mm-3D_glrlm_ShortRunLowGrayLevelEmphasis,0.0006691730603529344
log-sigma-1-0-mm-3D_glszm_GrayLevelNonUniformity,2049.4391798055713
log-sigma-1-0-mm-3D_glszm_GrayLevelNonUniformityNormalized,0.041856040760672564
log-sigma-1-0-mm-3D_glszm_GrayLevelVariance,52.93346466704503
log-sigma-1-0-mm-3D_glszm_HighGrayLevelZoneEmphasis,1261.442896822155
log-sigma-1-0-mm-3D_glszm_LargeAreaEmphasis,5313476.730352912
log-sigma-1-0-mm-3D_glszm_LargeAreaHighGrayLevelEmphasis,5917261705.399151
log-sigma-1-0-mm-3D_glszm_LargeAreaLowGrayLevelEmphasis,4778.887902620635
log-sigma-1-0-mm-3D_glszm_LowGrayLevelZoneEmphasis,0.0010507265257678558
log-sigma-1-0-mm-3D_glszm_SizeZoneNonUniformity,12641.612449963239
log-sigma-1-0-mm-3D_glszm_SizeZoneNonUniformityNormalized,0.25818177538524706
log-sigma-1-0-mm-3D_glszm_SmallAreaEmphasis,0.521770376733463
log-sigma-1-0-mm-3D_glszm_SmallAreaHighGrayLevelEmphasis,660.9590134354972
log-sigma-1-0-mm-3D_glszm_SmallAreaLowGrayLevelEmphasis,0.0005952131396446127
log-sigma-1-0-mm-3D_glszm_ZoneEntropy,7.800870424598186
log-sigma-1-0-mm-3D_glszm_ZonePercentage,0.04043887794584639
log-sigma-1-0-mm-3D_glszm_ZoneVariance,5312865.222826771
log-sigma-1-0-mm-3D_gldm_DependenceEntropy,7.16402177028116
log-sigma-1-0-mm-3D_gldm_DependenceNonUniformity,55615.17767041208
log-sigma-1-0-mm-3D_gldm_DependenceNonUniformityNormalized,0.045932019070140426
log-sigma-1-0-mm-3D_gldm_DependenceVariance,40.94070339738176
log-sigma-1-0-mm-3D_gldm_GrayLevelNonUniformity,232547.22681086705
log-sigma-1-0-mm-3D_gldm_GrayLevelVariance,8.129249131277835
log-sigma-1-0-mm-3D_gldm_HighGrayLevelEmphasis,1146.0740476455942
log-sigma-1-0-mm-3D_gldm_LargeDependenceEmphasis,161.97046699950033
log-sigma-1-0-mm-3D_gldm_LargeDependenceHighGrayLevelEmphasis,180650.51189322895
log-sigma-1-0-mm-3D_gldm_LargeDependenceLowGrayLevelEmphasis,0.14587827676325624
log-sigma-1-0-mm-3D_gldm_LowGrayLevelEmphasis,0.0009019992471332721
log-sigma-1-0-mm-3D_gldm_SmallDependenceEmphasis,0.04756299252689182
log-sigma-1-0-mm-3D_gldm_SmallDependenceHighGrayLevelEmphasis,58.66908592349484
log-sigma-1-0-mm-3D_gldm_SmallDependenceLowGrayLevelEmphasis,4.7849504565622054e-05
log-sigma-1-0-mm-3D_ngtdm_Busyness,22.600421005898554
log-sigma-1-0-mm-3D_ngtdm_Coarseness,1.1429681945303104e-05
log-sigma-1-0-mm-3D_ngtdm_Complexity,1246.2310514126061
log-sigma-1-0-mm-3D_ngtdm_Contrast,0.002558723707114371
log-sigma-1-0-mm-3D_ngtdm_Strength,0.05845919375203382
log-sigma-2-0-mm-3D_firstorder_10Percentile,-3.1486153602600093
log-sigma-2-0-mm-3D_firstorder_90Percentile,15.5792537689209
log-sigma-2-0-mm-3D_firstorder_Energy,162059185.4437166
log-sigma-2-0-mm-3D_firstorder_Entropy,3.129051157408537
log-sigma-2-0-mm-3D_firstorder_InterquartileRange,5.751472353935242
log-sigma-2-0-mm-3D_firstorder_Kurtosis,12.049585395671633
log-sigma-2-0-mm-3D_firstorder_Maximum,97.64286804199219
